poli|dokter|jamPraktik|loket|antreanBerjalan|totalAntrean|sisaAntrean|estimasiMenit
POLI PENYAKIT DALAM|dr. Wahyu Pradana, Sp.PD|07:30 - 12:00|A1|35|60|25|125
POLI BEDAH UMUM|dr. Andi Wicaksono, Sp.B|07:30 - 11:00|A2|28|50|22|110
POLI KEBIDANAN|dr. Dewi Anggraini, Sp.OG|07:30 - 13:00|B1|22|45|23|115
POLI MATA|dr. Fajar Nugroho, Sp.M|08:00 - 12:00|B2|16|35|19|95
POLI ORTOPEDI|dr. Bayu Kurniawan, Sp.OT|07:30 - 11:00|C1|20|40|20|100
POLI THT|dr. Gita Permana, Sp.THT|09:00 - 12:00|C2|12|28|16|80
POLI JANTUNG|dr. Wahyu Pradana, Sp.JP|07:30 - 11:00|D1|30|50|20|100
POLI ANAK|dr. Hesti Kurnia, Sp.A|07:30 - 12:00|D2|40|65|25|125
POLI SARAF|dr. Irwan Gunawan, Sp.S|08:00 - 13:00|E1|18|36|18|90
POLI PARU|dr. Citra Dewi, Sp.P|08:00 - 12:00|E2|14|30|16|80
POLI UROLOGI|dr. Eko Santoso, Sp.U|08:00 - 11:00|F1|10|22|12|60
POLI BEDAH SARAF|dr. Surya Nugroho, Sp.BS|08:00 - 11:00|F2|8|18|10|50
