ruang,kelas,kapasitas,terisi,update_terakhir
VVIP Utama,VIP,8,7,17 Apr 2026 07:00 WIB
Paviliun A,VIP,20,18,
Paviliun B,VIP,18,15,
Seruni,KELAS1,36,30,
Melati,KELAS1,34,28,
Dahlia,KELAS1,32,26,
Asoka A,KELAS2,48,42,
Asoka B,KELAS2,48,40,
Flamboyan,KELAS2,44,38,
Mawar A,KELAS3,72,66,
Mawar B,KELAS3,72,64,
Mawar C,KELAS3,68,60,
Anggrek,KELAS3,64,58,
ICU Bedah,ICU,18,14,
ICU Medis,ICU,16,13,
ICCU,ICU,12,9,
HCU A,HCU,16,12,
HCU B,HCU,14,10,
NICU,NICU,20,16,
PICU,NICU,14,10,
Perinatologi A,PERINATOLOGI,28,22,
Perinatologi B,PERINATOLOGI,24,18,
Kebidanan A,KEBIDANAN,32,26,
Kebidanan B,KEBIDANAN,28,22,
Isolasi,ISOLASI,16,8,
