ruang,kelas,kapasitas,terisi,update_terakhir
Anggrek Utama,VIP,8,6,16 Apr 2026 09:30 WIB
Anggrek Suite,VIP,6,5,
Dahlia VIP,VIP,10,7,
Mawar Merah A,KELAS1,20,15,
Mawar Merah B,KELAS1,20,14,
Melati A,KELAS1,22,16,
Kenanga,KELAS1,20,13,
Mawar Putih A,KELAS2,30,25,
Mawar Putih B,KELAS2,30,28,
Flamboyan A,KELAS2,28,20,
Cempaka,KELAS2,32,27,
Bougenville A,KELAS3,40,34,
Bougenville B,KELAS3,40,37,
Bougenville C,KELAS3,42,38,
Teratai,KELAS3,38,30,
Wijaya Kusuma,KELAS3,40,35,
ICU,ICU,10,7,
ICCU,ICU,8,5,
HCU Dewasa,HCU,12,8,
NICU,NICU,10,7,
PICU,NICU,8,4,
Perinatologi A,PERINATOLOGI,20,14,
Perinatologi B,PERINATOLOGI,16,12,
Kebidanan A,KEBIDANAN,24,18,
Kebidanan B,KEBIDANAN,20,14,
Isolasi,ISOLASI,10,4,
