plat_nomor,nomor_rangka,warna,model,tipe,tahun_dibuat,tanggal_masa_pajak,pkb,pkb_progresif,opsen_pkb,opsen_pkb_progresif,swdkllj,parkir_berlangganan,pengesahan_stnk,cetak_stnk,cetak_tnkb
W 1409 GDC,75500,Silver,Yamaha Aerox 155,B3WSAHXTH,2022,12 Mei 2026,85000,0,56100,0,35000,0,0,100000,60000
P 6574 EYI,00868,Abu-Abu,Kawasaki Ninja 250,EX250T9NT3W,2019,17 Juni 2024,95000,0,62700,0,35000,0,0,100000,60000
S 5741 WW,34813,Kuning,Yamaha Mio M3,F3GZYCWTI,2016,5 September 2024,225000,0,148500,0,35000,0,0,100000,60000
AG 1916 VU,40957,Orange,Yamaha NMAX 155,SED3XO6QJI,2018,29 Agustus 2024,250000,0,165000,0,83000,0,0,100000,60000
P 6930 ZD,47811,Hitam,Suzuki Satria F150,SF150VNVQJT,2020,11 Desember 2025,95000,0,62700,0,83000,0,0,100000,60000
AG 2827 LLY,82519,Orange,Yamaha R15,B744SHNF8,2024,4 Desember 2023,250000,0,165000,0,83000,0,0,100000,60000
M 1319 YW,83089,Orange,Honda Scoopy,JFB1039TEX,2012,31 Agustus 2024,225000,0,148500,0,83000,0,0,100000,60000
S 9835 SK,63842,Biru,Honda Scoopy,JFB1MVIHCW,2011,5 Januari 2024,150000,0,99000,0,35000,0,0,100000,60000
S 5562 FDY,54781,Putih,Honda PCX 160,KF30XMO5BX,2010,19 Januari 2025,150000,0,99000,0,35000,0,0,100000,60000
S 4139 ND,14808,Merah,Honda PCX 160,KF30B94874,2016,14 April 2025,200000,0,132000,0,35000,0,0,100000,60000
P 1960 JZ,27449,Hitam,Kawasaki KLX 150,KLX150FK8UT0,2010,24 Juli 2025,200000,0,132000,0,35000,0,0,100000,60000
L 9320 WB,08495,Abu-Abu,Honda Vario 125,JFH1WPVS7H,2013,31 Agustus 2024,175000,0,115500,0,35000,0,0,100000,60000
AE 8491 YYA,65055,Silver,Honda CB150R,CB150R755NF4,2019,9 Maret 2026,225000,0,148500,0,35000,0,0,100000,60000
